Citation,Year,PR_ID,ES_ID,CHT_ID,Ecosystem,Region,Country,Continent,Latitude_N_S,Longitude_E_W,Duration_months._FS,Invader,Growth_form,Plot_size_m2,Status_parameter1,GF_Parameter,Revegetation.method,Method_GF_Fun,Method_GF_Gen,revegetation_type,Reference,Invader_removal_strategy,Category,Parameter,Parameter_Category,Source,nT,mT,sdT,nC,mC,sdC
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,1,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (E. farinosa),Density,Figure 3,9,0.42,0.21,9,0.52,0.3
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,2,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (E. farinosa),Density,Figure 3,9,0.65,0.36,9,0.52,0.3
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,3,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (E. farinosa),Density,Figure 3,9,0.3,0.24,9,0.52,0.3
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,4,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (Abutilon Sp),Density,Figure 3,9,0.009,0.3,9,0.009,0.027
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,5,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (Abutilon Sp),Density,Figure 3,9,0.019,0.054,9,0.009,0.027
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,6,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (Abutilon Sp),Density,Figure 3,9,0.046,0.48,9,0.009,0.027
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,7,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover (E. farinosa),Cover,Figure 3,9,13.07,13.59,9,16.42,16.47
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,8,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover (E. farinosa),Cover,Figure 3,9,11.72,12.54,9,16.42,16.47
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,9,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,22,Pennisetum ciliare,Grass,12,Native,Forb,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover (E. farinosa),Cover,Figure 3,9,4.31,6.27,9,16.42,16.47
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,10,CHT1,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,15,Pennisetum ciliare,Grass,12,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (P. ciliare),Density,Figure 4,9,0.074,0.108,9,0.037,0.087
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,11,CHT2,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,15,Pennisetum ciliare,Grass,12,Non-native,Grass,Seeding and mulching,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (P. ciliare),Density,Figure 4,9,0.037,0.051,9,0.037,0.087
"Woods et al 2012. Journal of Arid Environments, 87: 168-175",2012,PR1,12,CHT3,National Park,"Tucson, Arizona",United States,North America,32.15,-110.7166667,15,Pennisetum ciliare,Grass,12,Non-native,Grass,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Density (P. ciliare),Density,Figure 4,9,0.15,0.09,9,0.037,0.087
"Bilggesstaff and Beck, 2007. The American Midland Naturalist, 158: 206-220",2007,PR2,13,CHT4,Forest,Oxford College of Emory University,United States,North America,33.5,-84.2,7,Hedera helix,Climber,12.5,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Seedling density,Density,Figure 3a,5,0.046,0.071554175,5,0.031,0.03354102
"Bilggesstaff and Beck, 2007. The American Midland Naturalist, 158: 206-220",2007,PR2,14,CHT5,Forest,Oxford College of Emory University,United States,North America,33.5,-84.2,7,Hedera helix,Climber,12.5,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Pulling,Mechanical,Seedling density,Density,Figure 3a,5,2.28,1.609968944,5,0.44,0.648459713
"Bilggesstaff and Beck, 2007. The American Midland Naturalist, 158: 206-220",2007,PR2,15,CHT4,Forest,Oxford College of Emory University,United States,North America,33.5,-84.2,7,Hedera helix,Climber,12.5,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Species richness,Richness,Figure 3b,5,1.4,0.96150923,5,1.4,0.603738354
"Bilggesstaff and Beck, 2007. The American Midland Naturalist, 158: 206-220",2007,PR2,16,CHT5,Forest,Oxford College of Emory University,United States,North America,33.5,-84.2,7,Hedera helix,Climber,12.5,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Pulling,Mechanical,Species richness,Richness,Figure 3b,5,9.2,3.242298567,5,5.63,2.482035455
"Bilggesstaff and Beck, 2007. The American Midland Naturalist, 158: 206-220",2007,PR2,17,CHT4,Forest,Oxford College of Emory University,United States,North America,33.5,-84.2,7,Hedera helix,Climber,12.5,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Species diversity (Shannon iindex,Diversity,Figure 3c,5,1.44,0.98386991,5,1.11,1.185116028
"Bilggesstaff and Beck, 2007. The American Midland Naturalist, 158: 206-220",2007,PR2,18,CHT5,Forest,Oxford College of Emory University,United States,North America,33.5,-84.2,7,Hedera helix,Climber,12.5,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Pulling,Mechanical,Species diversity (Shannon iindex,Diversity,Figure 3c,5,4.25,2.168985938,5,4.62,1.654690303
"Endress et al 2008. Invasive Plant Science and Management, 1: 50–58",2008,PR3,19,CHT6,Grassland,"Wenaha State Wildlife Area, northeastern Oregon",United States,North America,45.9478914,-117.4370548,33,Potentilla recta,Forb,30,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native grass cover,Cover,Text,9,6,3.6,9,3.4,3.6
"Enloe et al. 2013. Invasive Plant Science and Management, 6: 536–544",2013,PR4,20,CHT7,Forest,Southwest Alabama,United States,North America,30.63958333,-88.40241667,26,Imperata cylindrica,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cogongrass rhizome biomass,Biomass,Table 2,10,41,31.6227766,10,21,18.97366596
"Enloe et al. 2013. Invasive Plant Science and Management, 6: 536–544",2013,PR4,21,CHT7,Forest,Southwest Alabama,United States,North America,30.63958333,-88.40241667,26,Imperata cylindrica,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cogongrass shoot biomass,Biomass,Table 2,10,21,15.8113883,10,12,12.64911064
"Enloe et al. 2013. Invasive Plant Science and Management, 6: 536–544",2013,PR4,22,CHT7,Forest,Southwest Alabama,United States,North America,30.63958333,-88.40241667,26,Imperata cylindrica,Grass,100,Native,Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Other shoot biomass,Biomass,Table 2,10,180,151.7893277,10,86,53.75872022
"Sheley et al 2005. Weed Science, 53: 307-314",2005,PR5,23,CHT8,Grassland,Hamilton,Canada,North America,46.28333333,-114.0166667,66,Centaurea stoebe,Herb,9,Non-native,Herb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Spotted knapweed biomass,Biomass,Figure 8,4,34.96,36.09,4,83.08,25.19
"Sheley et al 2005. Weed Science, 53: 307-314",2005,PR5,24,CHT9,Grassland,Bozeman,Canada,North America,45.6,-111.1833333,66,Centaurea stoebe,Herb,9,Non-native,Herb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Spotted knapweed biomass,Biomass,Figure 8,4,39.92,35.97,4,87.75,35.57
"Bucharovaa and Krahulec, 2020. Basic and Applied Ecology, 42: 54–61",2020,PR6,25,CHT10,Grassland,Czech Republic’s Krkonose Mountains,Czechia,Europe,50.73444444,94.81111111,36,Rumex alpinus,Herb,2.25,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,biomass of Rumex alpinus,Biomass,Figure 1,30,4.97,7.53,30,69.36,25.09
"Bucharovaa and Krahulec, 2020. Basic and Applied Ecology, 42: 54–61",2020,PR6,26,CHT10,Grassland,Czech Republic’s Krkonose Mountains,Czechia,Europe,50.73444444,94.81111111,36,Rumex alpinus,Herb,2.25,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,biomass of grasses,Biomass,Figure 1,30,95.57,9.73,30,20.56,20.09
"Bucharovaa and Krahulec, 2020. Basic and Applied Ecology, 42: 54–61",2020,PR6,27,CHT10,Grassland,Czech Republic’s Krkonose Mountains,Czechia,Europe,50.73444444,94.81111111,36,Rumex alpinus,Herb,2.25,Native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,biomass of forbs,Biomass,Figure 1,30,0.54,0.94,30,11.33,8.42
"Bucharovaa and Krahulec, 2020. Basic and Applied Ecology, 42: 54–61",2020,PR6,28,CHT10,Grassland,Czech Republic’s Krkonose Mountains,Czechia,Europe,50.73444444,94.81111111,36,Rumex alpinus,Herb,2.25,Native,Overall,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native species richness,Richness,Figure 2,30,3,1.56,30,4.13,1.65
"Harper et al 2021. Wildlife Society Bulletin, 1–12",2021,PR7,29,CHT11,Grassland,"Tennessee and Alabama, USA",United States,North America,35.801705,-88.6192852,25,Schedonorus arundinaceus,Grass,11000,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Tall fescue cover,Cover,Text,15,2,2.323790008,15,6,4.260281681
"Harper et al 2021. Wildlife Society Bulletin, 1–12",2021,PR7,30,CHT11,Grassland,"Tennessee and Alabama, USA",United States,North America,35.801705,-88.6192852,25,Schedonorus arundinaceus,Grass,11000,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Forb cover,Cover,Table 1,15,64,11.61895004,15,72,7.745966692
"Harper et al 2021. Wildlife Society Bulletin, 1–12",2021,PR7,31,CHT11,Grassland,"Tennessee and Alabama, USA",United States,North America,35.801705,-88.6192852,25,Schedonorus arundinaceus,Grass,11000,Native,Bramble,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Bramble cover,Cover,Table 1,15,12,7.745966692,15,10,7.745966692
"Harper et al 2021. Wildlife Society Bulletin, 1–12",2021,PR7,32,CHT11,Grassland,"Tennessee and Alabama, USA",United States,North America,35.801705,-88.6192852,25,Schedonorus arundinaceus,Grass,11000,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native grass cover,Cover,Table 1,15,61,11.61895004,15,49,15.49193338
"Harper et al 2021. Wildlife Society Bulletin, 1–12",2021,PR7,33,CHT11,Grassland,"Tennessee and Alabama, USA",United States,North America,35.801705,-88.6192852,25,Schedonorus arundinaceus,Grass,11000,Native,Woody,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Woody species cover,Cover,Table 1,15,7,3.872983346,15,7,3.872983346
Smith et al 2016. Applied Vegetation Science 19: 20–30,2016,PR8,34,CHT12,Forest," Lake Jesup Conservation Area, Sanford, FL, US",United States,North America,28.759215,-81.21179056,12,Ruellia simplex,Herb,2.25,Non-native,Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,R. simplex above-ground biomass,Biomass,Figure 3b,7,7.19,5.317960135,7,7.81,5.450247701
Smith et al 2016. Applied Vegetation Science 19: 20–30,2016,PR8,35,CHT13,Forest," Lake Jesup Conservation Area, Sanford, FL, US",United States,North America,28.759215,-81.21179056,12,Ruellia simplex,Herb,2.25,Non-native,Herb,Planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,R. simplex above-ground biomass,Biomass,Figure 3b,7,3.67,1.455163221,7,7.81,5.450247701
Smith et al 2016. Applied Vegetation Science 19: 20–30,2016,PR8,36,CHT12,Forest," Lake Jesup Conservation Area, Sanford, FL, US",United States,North America,28.759215,-81.21179056,12,Ruellia simplex,Herb,2.25,Native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native species richness,Richness,Figure 4a,7,1.31,0.661437828,7,1.45,0.634980315
Smith et al 2016. Applied Vegetation Science 19: 20–30,2016,PR8,37,CHT13,Forest," Lake Jesup Conservation Area, Sanford, FL, US",United States,North America,28.759215,-81.21179056,12,Ruellia simplex,Herb,2.25,Native,Overall,Planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native species richness,Richness,Figure 4a,7,3.75,0.582065288,7,1.45,0.634980315
Smith et al 2016. Applied Vegetation Science 19: 20–30,2016,PR8,38,CHT12,Forest," Lake Jesup Conservation Area, Sanford, FL, US",United States,North America,28.759215,-81.21179056,12,Ruellia simplex,Herb,2.25,Non-native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Exotic species richness,Richness,Figure 4b,7,1.29,0.158745079,7,1.36,0.158745079
Smith et al 2016. Applied Vegetation Science 19: 20–30,2016,PR8,39,CHT13,Forest," Lake Jesup Conservation Area, Sanford, FL, US",United States,North America,28.759215,-81.21179056,12,Ruellia simplex,Herb,2.25,Non-native,Overall,Planting,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Exotic species richness,Richness,Figure 4b,7,150,0.158745079,7,1.36,0.158745079
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,40,CHT14,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native seeded plant cover,Cover,Table 1,18,23,25.45584412,18,13,12.72792206
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,41,CHT15,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding and planting,Multiple,Herbaceous,Single,Passive,"Moving, cutting, herbicide, burning",Integrated,Native seeded plant cover,Cover,Table 1,18,12,12.72792206,18,13,12.72792206
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,42,CHT16,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding and planting,Multiple,Herbaceous and Woody,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native seeded plant cover,Cover,Table 1,18,4,8.485281374,18,13,12.72792206
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,43,CHT17,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding and planting,Multiple,Herbaceous and Woody,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native seeded plant cover,Cover,Table 1,18,2,8.485281374,18,13,12.72792206
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,44,CHT14,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native non-seeded plant cover,Cover,Table 1,18,46,29.69848481,18,55,29.69848481
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,45,CHT15,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding and planting,Multiple,Herbaceous,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native non-seeded plant cover,Cover,Table 1,18,21,16.97056275,18,55,29.69848481
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,46,CHT16,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding and planting,Multiple,Herbaceous and Woody,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native non-seeded plant cover,Cover,Table 1,18,23,29.69848481,18,55,29.69848481
"Schuster et al 2022. Ecological Engineering, 182: 106730",2022,PR9,47,CHT17,Forest,"Minnesota, USA",United States,North America,45.1713,− 92.7654,30,Rhamnus cathartica,Shrub,1.44,Native,Overall,Seeding and planting,Multiple,Herbaceous and Woody,Mixture,Passive,"Moving, cutting, herbicide, burning",Integrated,Native non-seeded plant cover,Cover,Table 1,18,2,4.242640687,18,55,29.69848481
"Molina et al 2023. Applied Vegetation Science, 26: 1–11",2023,PR10,48,CHT18,Grassland,"Flooding Pampa, Pila County, Buenos Aires Province",Argentina,South America,-36.5,58.5,17,Festuca arundinacea,Grass,1,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Cutting,Mechanical,Tall fescue cover,Cover,Figure 1a,10,36.96,22.57866249,10,38.55,27.95453452
"Molina et al 2023. Applied Vegetation Science, 26: 1–11",2023,PR10,49,CHT19,Grassland,"Flooding Pampa, Pila County, Buenos Aires Province",Argentina,South America,-36.5,58.5,29,Festuca arundinacea,Grass,1,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Cutting,Mechanical,Cover of native cool-season grasses,Cover,Figure 2a,10,7.96,6.893765299,10,1.09,0.031622777
"Molina et al 2023. Applied Vegetation Science, 26: 1–11",2023,PR10,50,CHT20,Grassland,"Flooding Pampa, Pila County, Buenos Aires Province",Argentina,South America,-36.5,58.5,29,Festuca arundinacea,Grass,1,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Cutting,Mechanical,Cover of native warm-season grasses,Cover,Figure 2b,10,26.42,6.166441437,10,20.84,10.59363016
"Molina et al 2023. Applied Vegetation Science, 26: 1–11",2023,PR10,51,CHT19,Grassland,"Flooding Pampa, Pila County, Buenos Aires Province",Argentina,South America,-36.5,58.5,29,Festuca arundinacea,Grass,1,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Cutting,Mechanical,Richness of native cool-season grasses,Richness,Figure 2c,10,2.58,1.011928851,10,1,0.790569415
"Molina et al 2023. Applied Vegetation Science, 26: 1–11",2023,PR10,52,CHT20,Grassland,"Flooding Pampa, Pila County, Buenos Aires Province",Argentina,South America,-36.5,58.5,29,Festuca arundinacea,Grass,1,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Cutting,Mechanical,Richness of native warm-season grasses,Richness,Figure 2d,10,5.88,1.4862705,10,5.04,1.106797181
"Sexton et al 2020. Forests, 11: 813",2020,PR11,53,CHT21,Forest,"Rocky Mountain National Park, Northern Colorado",United States,North America,40.350615,-105.841288,36,Bromus tectorum; Cirsium arvense,Grass and Herb,NA,Native,Grass and Shrub,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Seeded native species cover,Cover,Figure 4,42,15.4,17.56280729,36,1.86,10.2
"Sexton et al 2020. Forests, 11: 813",2020,PR11,54,CHT21,Forest,"Rocky Mountain National Park, Northern Colorado",United States,North America,40.350615,-105.841288,36,Bromus tectorum; Cirsium arvense,Grass and Herb,NA,Non-native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-native species cover,Cover,Figure 7,42,1.12,3.110755535,36,3.69,5.28
"Sexton et al 2020. Forests, 11: 813",2020,PR11,55,CHT21,Forest,"Rocky Mountain National Park, Northern Colorado",United States,North America,40.350615,-105.841288,36,Bromus tectorum; Cirsium arvense,Grass and Herb,NA,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-seeded native species cover,Cover,Figure 8,42,4.73,7.582466617,36,7.81,5.88
"Morris et al 2012. Austral Ecology, 38: 413-426",2012,PR12,56,CHT22,Grassland,"Eastern Creek demonstration site, Doonside, Western Sydney",Australia,Australasia,-33.7875,150.8666667,11,Many,Grass,25,Native,"Grass, forb and Shrub",Seeding,Single,Herbaceous,Mixture,Passive,Burning,Mechanical,Mean total relative abundance of native species,Abundance,Figure 2b,3,205.87,60.53517572,3,191.79,61.95545739
"Morris et al 2012. Austral Ecology, 38: 413-426",2012,PR12,57,CHT22,Grassland,"Eastern Creek demonstration site, Doonside, Western Sydney",Australia,Australasia,-33.7875,150.8666667,11,Many,Grass,25,Non-native,"Grass, forb and Shrub",Seeding,Single,Herbaceous,Mixture,Passive,Burning,Mechanical,Mean total relative abundance of exotic species,Abundance,Figure 2b,3,111.44,31.48868368,3,109.68,31.5233247
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,58,CHT23,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species abundance,Abundance,Figure 1a,34,9.92,32.07023542,34,15.72,37.43471116
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,59,CHT24,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species abundance,Abundance,Figure 1a,34,68.55,32.07023542,34,60.46,36.50175886
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,60,CHT25,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species abundance,Abundance,Figure 1a,34,13.74,32.07023542,34,7.02,37.37640165
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,61,CHT26,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species abundance,Abundance,Figure 1a,34,11.14,25.83111689,34,9.46,41.8662346
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,62,CHT23,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species diversity,Diversity,Figure 1b,34,2.3,1.049571341,34,2.3,1.166190379
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,63,CHT24,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species diversity,Diversity,Figure 1b,34,2.95,1.10788086,34,2.86,1.224499898
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,64,CHT25,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species diversity,Diversity,Figure 1b,34,2.68,1.049571341,34,2.39,1.224499898
"Martin and Wilsey 2014. Basic and Applied Ecology, 15: 297-304",2014,PR13,65,CHT26,Grassland,"Northern Plains tallgrass prairie region, Iowa, USA",United States,North America,41.9080725,-96.0297486,24,Bromus inermis,Grass,4,Native,"Grass, Herb and Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native species diversity,Diversity,Figure 1b,34,2.58,1.224499898,34,2.58,0.991261822
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,66,CHT27,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Sollidago biomass,Biomass,Supporting Appendix S8,4,7.52,41.5,4,170.24,33.66
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,67,CHT28,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Sollidago biomass,Biomass,Supporting Appendix S8,4,99.86,65.15,4,170.24,16.83
