Citation,Year,PR_ID,ES_ID,CHT_ID,Ecosystem,Region,Country,Continent,Latitude_N_S,Longitude_E_W,Duration_months._FS,Invader,Growth_form,Plot_size_m2,Status_parameter1,GF_Parameter,Revegetation.method,Method_GF_Fun,Method_GF_Gen,revegetation_type,Reference,Invader_removal_strategy,Category,Parameter,Parameter_Category,Source,nT,mT,sdT,nC,mC,sdC
"Tyser et al 1998. Restoration Ecology, 6: 197–206",1998,PR26,135,CHT62,Grassland,"Glacier National Park, St. Mary valley",United States,North America,48.6596785,-114.1754926,33,Centaurea maculosa,Herb,32,Non-native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Alien forbs cover,Cover,Figure 2c,6,2.9,2.424994845,6,4.8,4.433576434
"Tyser et al 1998. Restoration Ecology, 6: 197–206",1998,PR26,136,CHT62,Grassland,"Glacier National Park, St. Mary valley",United States,North America,48.6596785,-114.1754926,33,Centaurea maculosa,Herb,32,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native forbs cover,Cover,Figure 2d,6,3.35,3.772214204,6,4.8,3.551760127
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,137,CHT63,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,6.75,13.32306271,15,9.57,4.531390515
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,138,CHT64,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,1.03,3.989172847,15,4.61,7.745966692
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,139,CHT65,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,2,3.446955178,15,19.55,8.520563362
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,140,CHT66,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,0.27,0.027110883,15,0.55,1.587923172
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,141,CHT63,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Perennial forb cover,Cover,Figure 3a,15,5.87,4.299011514,15,9.91,42.44789747
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,142,CHT64,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Perennial forb cover,Cover,Figure 3a,15,9.91,12.89703454,15,7.7,13.12941354
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,143,CHT65,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Perennial forb cover,Cover,Figure 3a,15,7.11,1.781572339,15,7.04,1.510463505
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,144,CHT66,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Perennial forb cover,Cover,Figure 3a,15,17.93,18.70650956,15,8.22,5.383446851
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,145,CHT67,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Perennial forb cover,Cover,Figure 3a,15,4.04,4.299011514,15,1.17,0.503487835
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,146,CHT63,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Shrub,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-sprouting shrub (Artemisia spp.) cover,Cover,Figure 4a,15,15.49,37.18064012,15,3.71,2.478709342
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,147,CHT64,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Shrub,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-sprouting shrub (Artemisia spp.) cover,Cover,Figure 4a,15,8.97,12.97449421,15,3.44,6.003124187
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,148,CHT65,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Shrub,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-sprouting shrub (Artemisia spp.) cover,Cover,Figure 4a,15,18.21,26.29755692,15,5.98,18.24175156
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,149,CHT66,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Shrub,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-sprouting shrub (Artemisia spp.) cover,Cover,Figure 4a,15,11.14,16.84747756,15,9.87,11.92878871
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,150,CHT67,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Native,Shrub,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Non-sprouting shrub (Artemisia spp.) cover,Cover,Figure 4a,15,21.74,38.14888596,15,0.72,1.084435337
Silva et al 2019. Heliyon 5: e01772,2019,PR28,151,CHT68,Grassland,"University of California, Davis",United States,North America,38.542865,-121.787842,60,"Convolvulus arvensis, Lactuca serriola",Vine and Herb,1100,Non-native,Vine,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Field bindweed biomass,Biomass,Figure 2b,4,0.71,0.08,4,0.73,0.14
Silva et al 2019. Heliyon 5: e01772,2019,PR28,152,CHT68,Grassland,"University of California, Davis",United States,North America,38.542865,-121.787842,60,"Convolvulus arvensis, Lactuca serriola",Vine and Herb,1100,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Prickly lettuce biomass,Biomass,Figure 3b,4,3.91,1.44,4,3.44,1.09
Coon et al 2021. Rangeland Ecology & Management 76: 84–94,2021,PR29,153,CHT69,Grassland,"Grand River Grasslands, eastern Great Plains",United States,North America,45.7499961,-102.513512,48,Schedonorus arundinaceus,Grass,87000,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover of  tall fescue,Cover,Figure 1a,7,15.66,6.085228015,7,15.84,7.937253933
Coon et al 2021. Rangeland Ecology & Management 76: 84–94,2021,PR29,154,CHT69,Grassland,"Grand River Grasslands, eastern Great Plains",United States,North America,45.7499961,-102.513512,48,Schedonorus arundinaceus,Grass,87000,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover of cool-season grasses,Cover,Figure 1b,7,29.9,18.44088664,7,35.38,12.85835137
Coon et al 2021. Rangeland Ecology & Management 76: 84–94,2021,PR29,155,CHT69,Grassland,"Grand River Grasslands, eastern Great Plains",United States,North America,45.7499961,-102.513512,48,Schedonorus arundinaceus,Grass,87000,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Cover of warm-season grasses,Cover,Figure 1c,7,16.24,11.77359333,7,18.21,8.228286577
Coon et al 2021. Rangeland Ecology & Management 76: 84–94,2021,PR29,156,CHT69,Grassland,"Grand River Grasslands, eastern Great Plains",United States,North America,45.7499961,-102.513512,48,Schedonorus arundinaceus,Grass,87000,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Forbs cover,Cover,Figure 3a,7,26.05,11.85296587,7,34.16,11.64130577
"Mahmood et al 2018. PLoS ONE, 13: e0203653",2018,PR30,157,CHT70,Grassland,Western Grassland Reserves,Australia,Australasia,-37.81823056,144.5829917,18,Galenia pubescens,Herb,36,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Galenia pubescens cover,Cover,Figure 1,16,40.61,4.87,16,27.21,5.63
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,158,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Medusahead cover,Cover,Figure 1a,28,38.26,28.256624,28,40.17,45.71858266
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,159,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Cheatgrass cover,Cover,Figure 1b,28,36,29.73824474,28,28.6,33.75978673
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,160,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Bulbous bluegrass cover,Cover,Figure 1c,28,10.77,14.81620734,28,8.81,12.117541
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,161,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Non-native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Exotic forbs cover,Cover,Figure 1d,28,13.11,11.9058809,28,11.84,10.15968503
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,162,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Large bunchgrasses cover,Cover,Figure 2a,28,8.21,4.974012465,28,7.03,7.249358592
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,163,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Sandberg bluegrass cover,Cover,Figure 2b,28,4.79,4.180287071,28,9.8,15.76867781
"Davies and Dean 2019, Rangeland Ecology & Management 72: 635–639",2019,PR31,164,CHT71,Grassland,"Crooked River National Grassland, Oregon",United States,North America,44.48,-121.1,66,"Taeniatherum caput-medusae, Bromus tectorum",Grass,98.64,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Native forb cover,Cover,Figure 2c,28,43.87,30.00281987,28,39.58,25.98127787
"Davies et al 2014. Invasive Plant Science and Management, 7: 247–256",2014,PR32,165,CHT72,Grassland,Southeastern Oregon,United States,North America,43.66945833,118.4309833,32,Taeniatherum caput-medusae,Grass,4,Non-native,Grass,Seeding,Single,Herbaceous,Single,Passive,Burning and Herbicide,Integrated,Exotic annual grass cover,Cover,Figure 1c,96,21.01,41.9352644,96,27.98,63.09885577
"Davies et al 2014. Invasive Plant Science and Management, 7: 247–256",2014,PR32,166,CHT72,Grassland,Southeastern Oregon,United States,North America,43.66945833,118.4309833,32,Taeniatherum caput-medusae,Grass,4,Non-native,Grass,Seeding,Single,Herbaceous,Single,Passive,Burning and Herbicide,Integrated,Exotic annual grass density,Density,Figure 1d,96,505.69,1115.20369,96,762.6,868.295124
"Davies et al 2014. Invasive Plant Science and Management, 7: 247–256",2014,PR32,167,CHT73,Grassland,Southeastern Oregon,United States,North America,43.66945833,118.4309833,32,Taeniatherum caput-medusae,Grass,4,Non-native,Grass,Seeding,Single,Herbaceous,Single,Passive,Burning and Herbicide,Integrated,Exotic annual grass cover,Cover,Figure 2c,96,22.11,42.8170807,96,27.96,62.804917
"Davies et al 2014. Invasive Plant Science and Management, 7: 247–256",2014,PR32,168,CHT73,Grassland,Southeastern Oregon,United States,North America,43.66945833,118.4309833,32,Taeniatherum caput-medusae,Grass,4,Non-native,Grass,Seeding,Single,Herbaceous,Single,Passive,Burning and Herbicide,Integrated,Exotic annual grass density,Density,Figure 2d,96,730.1,1788.323471,96,765.05,1867.197041
"Fansler and Mangold 2011. Restoration Ecology, 19: 16–23",2011,PR33,169,CHT74,Grassland,"Malheur National Wildlife Refuge, Burns, Oregon",United States,North America,43.2656665,-118.8465897,31,Agropyron cristatum,Grass,2100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Crested wheatgrass cover,Cover,Figure 3b,250,12.1,17.55064101,250,12.21,20.08046314
"Fansler and Mangold 2011. Restoration Ecology, 19: 16–23",2011,PR33,170,CHT75,Grassland,"Malheur National Wildlife Refuge, Burns, Oregon",United States,North America,43.2656665,-118.8465897,31,Agropyron cristatum,Grass,2100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Mechanical disking,Mechanical,Crested wheatgrass cover,Cover,Figure 3b,250,9.5,24.34953798,250,10.19,32.25523213
"Cowie et al 2021. Journal of Environmental Management, 280:  11686
",2021,PR34,171,CHT76,Grassland,Malalane (Malelane) region of Mpumalanga,South Africa,Africa,-25.55467778,31.62405,36,Parthenium hysterophorus,Herb,16,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Clearing,Mechanical,Parthenium hysterophorus density,Density,Figure 2,12,7.45,2.32,12,16.3,3.97
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,172,CHT77,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Bulldozing,Mechanical,Native species cover,Cover,Figure 4,8,75.03,22.34457429,16,15.14,18.64
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,173,CHT78,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Native species cover,Cover,Figure 4,8,69.04,3.280975465,16,10.98,11.32
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,174,CHT79,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Mulching,Mechanical,Native species cover,Cover,Figure 4,8,70.2,11.3137085,16,15.3,11.68
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,175,CHT80,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Trimming,Mechanical,Native species cover,Cover,Figure 4,8,46.41,35.07249635,16,1.66,4.64
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,176,CHT81,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Bulldozing,Mechanical,Native species cover,Cover,Figure 4,8,50.07,52.80673442,16,15.14,18.64
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,177,CHT82,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Native species cover,Cover,Figure 4,8,29.28,53.17442995,16,10.98,11.32
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,178,CHT83,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Mulching,Mechanical,Native species cover,Cover,Figure 4,8,12.98,12.69963779,16,15.3,11.68
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,179,CHT84,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Trimming,Mechanical,Native species cover,Cover,Figure 4,8,2.99,11.79454111,16,1.66,4.64
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,180,CHT85,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Bulldozing,Mechanical,Native species cover,Cover,Figure 4,8,79.35,11.76625684,16,33.1,20
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,181,CHT86,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Native species cover,Cover,Figure 4,8,61.88,53.45727266,16,22.13,16.6
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,182,CHT87,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Mulching,Mechanical,Native species cover,Cover,Figure 4,8,81.93,21.29805625,16,17.63,15
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,183,CHT88,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Trimming,Mechanical,Native species cover,Cover,Figure 4,8,71.87,19.28987299,16,12.06,18.32
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,184,CHT89,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Bulldozing,Mechanical,Native species cover,Cover,Figure 4,8,65.54,35.07249635,16,33.1,20
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,185,CHT90,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Native species cover,Cover,Figure 4,8,48.09,14.25527271,16,22.13,16.6
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,186,CHT91,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Mulching,Mechanical,Native species cover,Cover,Figure 4,8,57.78,46.18821495,16,17.63,15
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,187,CHT92,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Trimming,Mechanical,Native species cover,Cover,Figure 4,8,18.22,8.683271273,16,12.06,18.32
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,188,CHT93,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Non-native,Grass,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,"Bulldozing, Herbicide, Mulching, Trimming",Integrated,Cover of fountain grass,Cover,Text,124,36.3,57.90474937,124,47.7,41.20145628
"Cabin et al 2002. Ecological Applications, 12: 1595-1610 ",2002,PR35,189,CHT94,Forest,"Kaupulehu Preserve, island of Hawaii",United States,North America,19.9271581,-157.3101323,24,Pennisetum setaceum,Grass,3.24,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Bulldozing, Herbicide, Mulching, Trimming",Integrated,Cover of fountain grass,Cover,Text,124,45.2,64.58606661,124,47.7,41.20145628
"César et al 2012. Sci. Agric, 70: 268-273",2012,PR36,190,CHT95,Forest,"Itu, state of São Paulo, Brazil",Brazil,South America,-23.23388889,-47.40972222,9,Urochloa decumbens,Grass,96,Non-native,Grass,Seeding and planting,Multiple,Woody,Mixture,Passive,Herbicide,Chemical,Urochloa decumbens cover,Cover,Figure 2,4,90.46,2.32,4,23.72,9.76
"César et al 2012. Sci. Agric, 70: 268-273",2012,PR36,191,CHT96,Forest,"Itu, state of São Paulo, Brazil",Brazil,South America,-23.23388889,-47.40972222,9,Urochloa decumbens,Grass,96,Non-native,Grass,Seeding and planting,Multiple,Woody,Mixture,Passive,Herbicide,Chemical,Urochloa decumbens cover,Cover,Figure 2,4,86.51,5.16,4,23.72,9.76
"Cuneo and Leishman 2015. Ecological Management & Restoration, 16: 33-40",2015,PR37,192,CHT97,Forest,"The Australian Botanic Garden, Mount Annan, south-west Sydney",Australia,Australasia,-34.0697607,-150.7646278,36,Olea europaea ssp. Cuspidata,Tree,4,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Cutting, herbicide, burning",Integrated,Native species cover,Cover,Figure 4a,5,60.84,19.85628364,5,43.1,17.95562586
"Cuneo and Leishman 2015. Ecological Management & Restoration, 16: 33-40",2015,PR37,193,CHT97,Forest,"The Australian Botanic Garden, Mount Annan, south-west Sydney",Australia,Australasia,-34.0697607,-150.7646278,36,Olea europaea ssp. Cuspidata,Tree,4,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Cutting, herbicide, burning",Integrated,Native species richness,Richness,Figure 4b,5,2.75,7.557909764,5,2.41,6.663482573
"Cuneo and Leishman 2015. Ecological Management & Restoration, 16: 33-40",2015,PR37,194,CHT97,Forest,"The Australian Botanic Garden, Mount Annan, south-west Sydney",Australia,Australasia,-34.0697607,-150.7646278,36,Olea europaea ssp. Cuspidata,Tree,4,Non-native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Cutting, herbicide, burning",Integrated,Exotic species cover,Cover,Figure 4b,5,2.76,6.93181073,5,6.72,8.877189871
"Cuneo and Leishman 2015. Ecological Management & Restoration, 16: 33-40",2015,PR37,195,CHT97,Forest,"The Australian Botanic Garden, Mount Annan, south-west Sydney",Australia,Australasia,-34.0697607,-150.7646278,36,Olea europaea ssp. Cuspidata,Tree,4,Non-native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Cutting, herbicide, burning",Integrated,Exotic species richness,Richness,Figure 4b,5,1.53,3.510626725,5,2.04,1.00623059
"Cuneo and Leishman 2015. Ecological Management & Restoration, 16: 33-40",2015,PR37,196,CHT97,Forest,"The Australian Botanic Garden, Mount Annan, south-west Sydney",Australia,Australasia,-34.0697607,-150.7646278,36,Olea europaea ssp. Cuspidata,Tree,4,Non-native,Tree,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Cutting, herbicide, burning",Integrated,African Olive seedlings density,Density,Figure 6,5,0.01,0.04472136,5,0.21,0.402492236
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,197,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Native perrenial grass cover,Cover,Figure 1a,300,2.69,10.56550993,300,1.97,8.313843876
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,198,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Exotic annual grass cover,Cover,Figure 1b,300,2.07,8.660254038,300,2.91,10.91192009
