Citation,Year,PR_ID,ES_ID,CHT_ID,Ecosystem,Region,Country,Continent,Latitude_N_S,Longitude_E_W,Duration_months._FS,Invader,Growth_form,Plot_size_m2,Status_parameter1,GF_Parameter,Revegetation.method,Method_GF_Fun,Method_GF_Gen,revegetation_type,Reference,Invader_removal_strategy,Category,Parameter,Parameter_Category,Source,nT,mT,sdT,nC,mC,sdC
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,199,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Non-native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Exotic annual forb cover,Cover,Figure 1c,300,0.66,4.5033321,300,0.92,3.983716857
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,200,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Native,Shrub,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Sagebrush cover,Cover,Figure 2d,20,3.06,2.414953416,20,4.58,5.769055382
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,201,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Native perrenial grass density,Density,Figure 3a,300,5.22,18.8793538,300,3.5,13.85640646
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,202,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Exotic annual grass density,Density,Figure 3b,300,105.66,522.9061388,300,169.81,1021.736771
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,203,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Non-native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Exotic annual forb density,Density,Figure 3c,300,113.43,465.402052,300,128.36,517.0171661
"Davies and Bates 2014. Restoration Ecology, 22: 608–615",2014,PR38,204,CHT98,Forest, Southeastern Oregon,United States,North America,43.966079,-123.2231589,48,Bromus tectorum,Grass,1800,Native,Shrub,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Sagebrush density,Density,Figure 3d,20,0.53,0.447213595,20,0.5,0.670820393
"DeSandoli et al 2016. Canadian Journal of Forest Research, 46: 1042–1050",2016,PR39,205,CHT99,Forest,"Kamloops, British Columbia",Canada,North America,50.7416388,-120.4635361,14,Many,Grass and Herb,1,Non-native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning,Mechanical,Non-native species richness,Richness,Figure 4a,12,0.93,0.45033321,12,0.78,0.519615242
"Endress et al 2012. Invasive Plant Science and Management, 5: 311–316",2012,PR40,206,CHT100,Grassland,"Wenaha State Wildlife Area, Wallowa County",United States,North America,45.9478914,-117.4370548,72,Potentilla recta,Forb,30,Non-native,Forb and Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Non-native plant cover,Cover,Text,60,58.1,16.03415105,60,65.7,16.03415105
"Endress et al 2012. Invasive Plant Science and Management, 5: 311–316",2012,PR40,207,CHT100,Grassland,"Wenaha State Wildlife Area, Wallowa County",United States,North America,45.9478914,-117.4370548,72,Potentilla recta,Forb,30,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Exotic grass cover,Cover,Text,60,32.4,18.82269906,60,40.5,18.82269906
"Endress et al 2012. Invasive Plant Science and Management, 5: 311–316",2012,PR40,208,CHT100,Grassland,"Wenaha State Wildlife Area, Wallowa County",United States,North America,45.9478914,-117.4370548,72,Potentilla recta,Forb,30,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native grass cover,Cover,Text,60,31.5,28.96991543,60,7.56,28.96991543
"Falk et al 2013. Restoration Ecology, 21: 474–480",2013,PR41,209,CHT101,Grassland,"Taormina unit, southern Rio Grande Valley of Texas",United States,North America,26.10994722,-98.02544444,27,Many,Multiple,20000,Native,Forb and Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Bulldozing,Mechanical,Herbaceous native cover,Cover,Figure 2,12,41.86,36.99660525,12,4.24,6.131459859
"Falk et al 2013. Restoration Ecology, 21: 474–480",2013,PR41,210,CHT101,Grassland,"Taormina unit, southern Rio Grande Valley of Texas",United States,North America,26.10994722,-98.02544444,27,Many,Multiple,20000,Non-native,Forb and Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Bulldozing,Mechanical,Herbaceous non-native cover,Cover,Figure 4,12,11.72,25.80755703,12,40.43,51.61511407
"Herron et al 2013. International Journal of Wildland Fire, 22: 815–821",2013,PR42,211,CHT102,Grassland,"Idaho and Colorado, USA",United States,North America,38.9681873,-108.1911412,43,Bromus tectorum,Grass,4,Non-native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Fire,Mechanical,Exotic annual cover,Cover,Figure 2a,21,16.17,19.41,21,18.92,19.53
"Herron et al 2013. International Journal of Wildland Fire, 22: 815–821",2013,PR42,212,CHT103,Grassland,"Idaho and Colorado, USA",United States,North America,38.9681873,-108.1911412,43,Bromus tectorum,Grass,4,Non-native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Fire,Mechanical,Exotic annual cover,Cover,Figure 2a,21,15.03,19.47,21,18.92,19.53
"Herron et al 2013. International Journal of Wildland Fire, 22: 815–821",2013,PR42,213,CHT104,Grassland,"Idaho and Colorado, USA",United States,North America,38.9681873,-108.1911412,43,Bromus tectorum,Grass,4,Non-native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Fire,Mechanical,Exotic annual cover,Cover,Figure 2a,21,14.25,17.52,21,18.92,19.53
"Herron et al 2013. International Journal of Wildland Fire, 22: 815–821",2013,PR42,214,CHT102,Grassland,"Idaho and Colorado, USA",United States,North America,38.9681873,-108.1911412,43,Bromus tectorum,Grass,4,Native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Fire,Mechanical,Native annual cover,Cover,Figure 2b,21,2.53,3.63,21,2,2.89
"Herron et al 2013. International Journal of Wildland Fire, 22: 815–821",2013,PR42,215,CHT103,Grassland,"Idaho and Colorado, USA",United States,North America,38.9681873,-108.1911412,43,Bromus tectorum,Grass,4,Native,"Grass, Herb, Forb",Seeding,Multiple,Herbaceous,Mixture,Passive,Fire,Mechanical,Native annual cover,Cover,Figure 2c,21,10.14,9.05,21,7.86,11.53
"Jones et al 2013. Natural Areas Journal, 33: 214-221",2013,PR43,216,CHT104,Grassland,"Connecticut College Arboretum, Waterford, Connecticut.",United States,North America,41.3784329,-72.1116675,50,Berberis thunbergii and Celastrus orbiculatus,Shrub and vine,15000,Native,Grass and Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Cutting,Mechanical,Proportion of total cover  of species sown,Cover,Figure 2a,23,63.1,49.97256447,7,31.62,25.18755248
"Jones et al 2013. Natural Areas Journal, 33: 214-221",2013,PR43,217,CHT104,Grassland,"Connecticut College Arboretum, Waterford, Connecticut.",United States,North America,41.3784329,-72.1116675,50,Berberis thunbergii and Celastrus orbiculatus,Shrub and vine,15000,Non-native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,Cutting,Mechanical,Cover of all exotic specie,Cover,Figure 4a,23,0.91,2.397915762,7,8.04,15.55701771
"Jones et al 2013. Natural Areas Journal, 33: 214-221",2013,PR43,218,CHT104,Grassland,"Connecticut College Arboretum, Waterford, Connecticut.",United States,North America,41.3784329,-72.1116675,50,Berberis thunbergii and Celastrus orbiculatus,Shrub and vine,15000,Native,Shrub and Vine,Seeding,Multiple,Herbaceous,Mixture,Passive,Cutting,Mechanical,Cover of woody species,Cover,Figure 4a,23,33.02,34.48202865,7,58.84,45.90378525
"Li et al 2015. Scientific Reports, 5: 11004",2015,PR44,219,CHT105,Grassland,"The Vegetable Research Institute, Guangdong Academy of Agricultural Sciences, China ",China,Asia,28.13333333,113.15,6,Ipomoea cairica,Vine,2,Non-native,Vine,Seeding,Single,Woody,Single,Passive,Pulling,Mechanical,Total biomass of Ipomoea cairica,Biomass,Table 3,3,2.25,0.26,3,9.7,1.35
"Li et al 2015. Scientific Reports, 5: 11004",2015,PR44,220,CHT106,Grassland,"The Vegetable Research Institute, Guangdong Academy of Agricultural Sciences, China ",China,Asia,28.13333333,113.15,6,Ipomoea cairica,Vine,2,Non-native,Vine,Seeding,Single,Woody,Single,Passive,Pulling,Mechanical,Total biomass of Ipomoea cairica,Biomass,Table 3,3,2.18,0.16,3,9.7,1.35
"Pretorius et al 2008. South African Journal of Botany, 74: 517–525",2008,PR45,221,CHT107,Riparian,"Oaklands Farm, Groenberg, Wellington, Western Cape",South Africa,Africa,-33.62222222,19.09166667,96,Acacia mearnsii,Tree,50,Native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Cutting and burning,Mechanical,Indigenous grasses density,Density,Table 3,20,46.6,67.49,20,41.95,45.83
"Pretorius et al 2008. South African Journal of Botany, 74: 517–525",2008,PR45,222,CHT107,Riparian,"Oaklands Farm, Groenberg, Wellington, Western Cape",South Africa,Africa,-33.62222222,19.09166667,96,Acacia mearnsii,Tree,50,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Cutting and burning,Mechanical,Alien grasses density,Density,Table 3,20,0.25,0.25,20,0.4,0.29
"Pretorius et al 2008. South African Journal of Botany, 74: 517–525",2008,PR45,223,CHT107,Riparian,"Oaklands Farm, Groenberg, Wellington, Western Cape",South Africa,Africa,-33.62222222,19.09166667,96,Acacia mearnsii,Tree,50,Native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Cutting and burning,Mechanical,Indigenous forbs density,Density,Table 3,20,3.05,2.52,20,3.55,3.63
"Pretorius et al 2008. South African Journal of Botany, 74: 517-525",2008,PR45,224,CHT107,Riparian,"Oaklands Farm, Groenberg, Wellington, Western Cape",South Africa,Africa,-33.62222222,19.09166667,96,Acacia mearnsii,Tree,50,Non-native,Forb,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Cutting and burning,Mechanical,Alien forbs density,Density,Table 3,20,7.7,6.76,20,21.8,31.35
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,225,CHT108,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Indigenous annual density,Density,Figure 3,3,116.95,47.94316635,3,38.93,23.53857047
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,226,CHT109,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous annual density,Density,Figure 3,3,17.28,4.364768035,3,3.19,1.732050808
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,227,CHT110,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous annual density,Density,Figure 3,3,14.76,1.749371316,3,6.2,4.364768035
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,228,CHT111,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Indigenous annual density,Density,Figure 3,3,88,43.52643679,3,57.89,28.21510766
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,229,CHT112,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous annual density,Density,Figure 3,3,12,5.992895794,3,4.11,5.12687039
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,230,CHT113,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous annual density,Density,Figure 3,3,9.54,10.25374078,3,4.11,3.412140091
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,231,CHT114,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Indigenous annual density,Density,Figure 3,3,35.71,24.75100604,3,63.78,42.43524479
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,232,CHT115,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous annual density,Density,Figure 3,3,10.71,5.300075471,3,10.71,9.734125539
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,233,CHT116,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,6,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous annual density,Density,Figure 3,3,10.71,3.533383647,3,10.2,0.883345912
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,234,CHT109,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous perennial density,Density,Figure 4,3,5.08,0.883345912,3,1.78,0.606217783
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,235,CHT110,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous perennial density,Density,Figure 4,3,2.41,1.489563695,3,1.39,1.524204711
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,236,CHT111,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Indigenous perennial density,Density,Figure 4,3,2.47,1.922576396,3,0.38,0.623538291
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,237,CHT112,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous perennial density,Density,Figure 4,3,5.07,3.031088913,3,2.11,1.922576396
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,238,CHT113,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous perennial density,Density,Figure 4,3,4.83,1.957217413,3,0.39,0.606217783
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,239,CHT115,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous perennial density,Density,Figure 4,3,2.47,1.506884203,3,1.1,1.160474041
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,240,CHT116,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous perennial density,Density,Figure 4,3,2.84,1.125833025,3,0.4,0.623538291
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,241,CHT109,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous species richness,Richness,Figure 5,3,1.99,0.90066642,3,0.95,0.017320508
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,242,CHT110,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous species richness,Richness,Figure 5,3,1.66,0.554256258,3,1.25,0.53693575
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,243,CHT111,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide,Chemical,Indigenous species richness,Richness,Figure 5,3,1.36,1.039230485,3,0.3,0.554256258
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,244,CHT112,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous species richness,Richness,Figure 5,3,1.34,0.53693575,3,1.03,0.017320508
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,245,CHT113,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous species richness,Richness,Figure 5,3,2.7,1.247076581,3,0.3,0.53693575
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,246,CHT115,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Herbicide and ploughing,Integrated,Indigenous species richness,Richness,Figure 5,3,1.71,0.519615242,3,1.02,0.98726896
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,247,CHT116,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous species richness,Richness,Figure 5,3,1.33,0.502294734,3,0.68,0.53693575
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,248,CHT110,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous plant canopy cover,Cover,Figure 6,12,63.71,58.64724034,12,39.03,67.75782759
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,249,CHT113,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous plant canopy cover,Cover,Figure 6,12,45.59,44.13265458,12,18.63,22.06632729
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,250,CHT116,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Indigenous plant canopy cover,Cover,Figure 6,12,19.57,41.88098853,12,17.6,33.32465754
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,251,CHT110,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Non-native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Alien plant canopy cover,Cover,Figure 7,12,5.64,14.96491898,12,15.08,37.72406659
"Holmes 2005. South African Journal of Botany, 71: 326–338",2005,PR46,252,CHT113,Shrubland,Matjiesrivier Provincial Nature Reserve,South Africa,Africa,-32.9483689,19.40233,36,Medicago sativa,Herb,25,Non-native,Overall,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Ploughing,Mechanical,Alien plant canopy cover,Cover,Figure 7,12,4.3,22.86307066,12,7.47,26.98535158
"Matthews et al 2017. Restoration Ecology, 25: 972-981",2017,PR47,253,CHT114,Grassland,"Lost Mound Unit, the Upper Mississippi River National Wildlife and Fish Refuge northwestern Illinois",United States,North America,42.8488948,-91.0899304,17,Securigera varia,Vine,9,Native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Percent cover of seeded species,Cover,Figure 4a,15,6.5,11.07673237,15,9.05,18.7452394
"Matthews et al 2017. Restoration Ecology, 25: 972-981",2017,PR47,254,CHT115,Grassland,"Lost Mound Unit, the Upper Mississippi River National Wildlife and Fish Refuge northwestern Illinois",United States,North America,42.8488948,-91.0899304,17,Securigera varia,Vine,9,Native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Percent cover of seeded species,Cover,Figure 4b,15,9.22,25.40677075,15,1.08,4.182822014
"Matthews et al 2017. Restoration Ecology, 25: 972-981",2017,PR47,255,CHT116,Grassland,"Lost Mound Unit, the Upper Mississippi River National Wildlife and Fish Refuge northwestern Illinois",United States,North America,42.8488948,-91.0899304,17,Securigera varia,Vine,9,Native,Grass and Herb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Percent cover of seeded species,Cover,Figure 4c,15,1.27,4.105362347,15,2.26,5.112338017
"Porto et al 2023. Restoration Ecology, 31: e13773",2023,PR48,256,CHT117,Grassland,Lagoa do Peixe National Park,Brazil,South America,-31.254918,-50.970841,24,Pinus elliotti,Tree,16,Native,Overall,Haying,Multiple,,Mixture,Passive,Manual removal,Mechanical,Vegetation cover,Cover,Figure 2a,18,55.42,36.26,18,34.17,37.03
"Porto et al 2023. Restoration Ecology, 31: e13773",2023,PR48,257,CHT118,Grassland,Lagoa do Peixe National Park,Brazil,South America,-31.254918,-50.970841,24,Pinus elliotti,Tree,16,Native,Overall,Haying,Multiple,,Mixture,Passive,Burning,Mechanical,Vegetation cover,Cover,Figure 2a,18,92.67,13.77,18,20.21,14.78
"Porto et al 2023. Restoration Ecology, 31: e13773",2023,PR48,258,CHT117,Grassland,Lagoa do Peixe National Park,Brazil,South America,-31.254918,-50.970841,24,Pinus elliotti,Tree,16,Native,Overall,Haying,Multiple,,Mixture,Passive,Manual removal,Mechanical,Species richness,Richness,Figure 2b,18,10.61,5.37,18,9.36,6.69
"Porto et al 2023. Restoration Ecology, 31: e13773",2023,PR48,259,CHT118,Grassland,Lagoa do Peixe National Park,Brazil,South America,-31.254918,-50.970841,24,Pinus elliotti,Tree,16,Native,Overall,Haying,Multiple,,Mixture,Passive,Burning,Mechanical,Species richness,Richness,Figure 2b,18,12.1,4.81,18,9.44,5.81
"Porto et al 2023. Restoration Ecology, 31: e13773",2023,PR48,260,CHT117,Grassland,Lagoa do Peixe National Park,Brazil,South America,-31.254918,-50.970841,24,Pinus elliotti,Tree,16,Non-native,Tree,Haying,Multiple,,Mixture,Passive,Manual removal,Mechanical,Pinus elliottii density,Density,Figure 3,6,1.77,4,6,4.09,3.98
"Floyd et al 2006. International Journal of Wildland Fire, 15: 247–259",2006,PR49,261,CHT118,Forest,"Mesa Verde National Park, Colorado",United States,North America,37.2428321,-108.547858,84,Bromus tectorum,Grass,314,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Burning,Mechanical,Bromus tectorum density,Density,Text,25,9500,14265,25,16913,19810
"Floyd et al 2006. International Journal of Wildland Fire, 15: 247–259",2006,PR49,262,CHT118,Forest,"Mesa Verde National Park, Colorado",United States,North America,37.2428321,-108.547858,84,Bromus tectorum,Grass,314,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Burning,Mechanical,Native grasses density,Density,Text,25,802,245,25,7,5
"Brisbin et al 2013. Invasive Plant Science and Management, 6:118–129",2013,PR50,263,CHT119,Forest,"Zion National Park, southern Utah",United States,North America,37.15,-113.4833333,36,Bromus tectorum,Grass,150,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Seed bank density of Bromus,Density,Figure 2,120,19.31,90.70285552,120,30.11,82.48701716
"Brisbin et al 2013. Invasive Plant Science and Management, 6:118–129",2013,PR50,264,CHT119,Forest,"Zion National Park, southern Utah",United States,North America,37.15,-113.4833333,36,Bromus tectorum,Grass,150,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Seed bank density of seeded native species,Density,Figure 3,120,1.35,12.3785298,120,0.07,0.328633535
"Brisbin et al 2013. Invasive Plant Science and Management, 6:118–129",2013,PR50,265,CHT119,Forest,"Zion National Park, southern Utah",United States,North America,37.15,-113.4833333,36,Bromus tectorum,Grass,150,Native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Seed bank density of forbs,Density,Figure 5,120,13.3,48.19958506,120,18.32,43.59871558
"Brisbin et al 2013. Invasive Plant Science and Management, 6:118–129",2013,PR50,266,CHT119,Forest,"Zion National Park, southern Utah",United States,North America,37.15,-113.4833333,36,Bromus tectorum,Grass,150,Non-native,Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Seed bank density of nonnative species,Density,Figure 6,120,4.81,17.96529989,120,5.04,12.92625236
